latitude,longitude,MAG,DEPTH,LOCATION,IRIS_ID,DATE and TIME (UTC)?
-21.26,-68.68,4.7,123,CHILE-BOLIVIA BORDER REGION,??11013319,2019-03-11 3:33
-5.91,130.61,4.4,97,BANDA SEA,??11013318,2019-03-11 3:17
-31.65,58.11,5.1,10,SOUTHWEST INDIAN RIDGE,??11013316,2019-03-11 3:15
11.76,93.67,4.5,111,"ANDAMAN ISLANDS, INDIA REGION",??11013288,2019-03-11 1:14
59.77,-141.6,4.7,9,SOUTHEASTERN ALASKA,??11013275,2019-03-11 0:07
59.83,-141.66,4.4,18,SOUTHEASTERN ALASKA,??11013248,2019-03-10 22:40
59.62,-153.34,4.3,123,SOUTHERN ALASKA,??11013234,2019-03-10 21:44
-22.98,-178.43,4.9,399,SOUTH OF FIJI ISLANDS,??11013212,2019-03-10 19:35
15.98,-93.69,4.4,107,"NEAR COAST OF CHIAPAS, MEXICO",??11013208,2019-03-10 19:17
58.24,-31.69,4.5,10,REYKJANES RIDGE,??11013218,2019-03-10 19:13
36.75,142.45,5,10,"OFF EAST COAST OF HONSHU, JAPAN",??11013205,2019-03-10 18:43
-35.13,53.74,4.8,10,SOUTHWEST INDIAN RIDGE,??11013203,2019-03-10 18:34
58.34,-31.96,5.9,10,REYKJANES RIDGE,??11013200,2019-03-10 18:04
58.5,-31.68,5.5,10,REYKJANES RIDGE,??11013196,2019-03-10 17:58
36.99,142.27,4.7,10,"OFF EAST COAST OF HONSHU, JAPAN",??11013216,2019-03-10 17:39
36.8,142.45,5.1,10,"OFF EAST COAST OF HONSHU, JAPAN",??11013191,2019-03-10 17:24
-5.22,146.18,5,41,"EASTERN NEW GUINEA REG., P.N.G.",??11013190,2019-03-10 17:21
36.85,142.37,5.8,15,"OFF EAST COAST OF HONSHU, JAPAN",??11013189,2019-03-10 17:10
58.46,-31.88,5.2,10,REYKJANES RIDGE,??11013175,2019-03-10 16:23
-10.02,151.92,4.9,10,D'ENTRECASTEAUX ISLANDS REGION,??11013173,2019-03-10 15:54
-20.97,-176.36,4.5,215,FIJI ISLANDS REGION,??11013171,2019-03-10 15:21
-35.21,53.93,5.4,10,SOUTHWEST INDIAN RIDGE,??11013146,2019-03-10 13:18
-25.77,-70.6,4.8,35,NEAR COAST OF NORTHERN CHILE,??11013142,2019-03-10 13:08
-10.14,152.05,6.1,10,D'ENTRECASTEAUX ISLANDS REGION,??11013140,2019-03-10 12:48
18.95,39.4,4.6,10,RED SEA,??11013138,2019-03-10 12:32
-21.44,-66.84,4.3,229,SOUTHERN BOLIVIA,??11013133,2019-03-10 11:55
52.73,-114.94,4.3,10,"ALBERTA, CANADA",??11013168,2019-03-10 10:00
44.15,148.3,5.1,39,KURIL ISLANDS,??11013120,2019-03-10 9:52
27.89,140.06,4.3,348,"BONIN ISLANDS, JAPAN REGION",??11013121,2019-03-10 9:44
-9.56,112.66,5,66,"SOUTH OF JAVA, INDONESIA",??11013118,2019-03-10 9:21
-17.85,-178.64,4.8,570,FIJI ISLANDS REGION,??11013110,2019-03-10 8:23
-17.83,-178.66,6.2,567,FIJI ISLANDS REGION,??11013103,2019-03-10 8:12
-3.26,90.29,5.5,10,SOUTH INDIAN OCEAN,??11013097,2019-03-10 7:53
17.59,-96.68,4.3,76,"OAXACA, MEXICO",??11013089,2019-03-10 6:16
69.62,-145.53,4.3,14,NORTHERN ALASKA,??11013066,2019-03-10 4:07
-15.33,-72.44,4.5,108,SOUTHERN PERU,??11013065,2019-03-10 3:41
-30.37,-72.21,4.5,10,OFF COAST OF CENTRAL CHILE,??11013063,2019-03-10 3:09
-6.18,130.1,4.6,145,BANDA SEA,??11013059,2019-03-10 2:18
13.97,144.55,4.4,188,MARIANA ISLANDS,??11013030,2019-03-09 23:13
5.32,94.31,4.4,57,"NORTHERN SUMATRA, INDONESIA",??11013027,2019-03-09 22:42
-31.44,-70.13,4.8,116,CHILE-ARGENTINA BORDER REGION,??11013011,2019-03-09 20:45
-32.26,-179.11,4.9,10,SOUTH OF KERMADEC ISLANDS,??11012994,2019-03-09 16:25
-30.66,-71.53,4.5,52,NEAR COAST OF CENTRAL CHILE,??11013002,2019-03-09 15:22
17.48,-100.29,4.7,69,"GUERRERO, MEXICO",??11012966,2019-03-09 14:00
-5.04,151.87,4.8,110,"NEW BRITAIN REGION, P.N.G.",??11012962,2019-03-09 13:29
37.65,72.22,4.2,169,TAJIKISTAN,??11012955,2019-03-09 13:06
-7.57,128.32,4.7,152,BANDA SEA,??11012950,2019-03-09 12:33
55.27,-134.92,4.9,28,SOUTHEASTERN ALASKA,??11012941,2019-03-09 11:11
29.34,139.5,4.5,395,"SOUTHEAST OF HONSHU, JAPAN",??11012934,2019-03-09 10:07
-19.94,-69.07,4.4,100,NORTHERN CHILE,??11012936,2019-03-09 6:16
30.49,142.18,4.8,10,"SOUTHEAST OF HONSHU, JAPAN",??11012877,2019-03-09 3:07
